Дата,Температура (день),Давление (день),Облачность (день),Ветер (день),Температура (вечер),Давление (вечер),Облачность (вечер),Ветер (вечер)
2000-09-13,0,740,Переменная облачность,СЗ 3м/с,,,Неизвестно,
2008-01-10,-20,765,Ясно,В 2м/с,-22,765,Ясно,В 2м/с
2008-01-11,-20,764,Малооблачно,Ш,-24,764,Ясно,Ш
2008-01-12,-20,762,Пасмурно,З 2м/с,-20,761,Ясно,З 2м/с
2008-01-13,-9,756,Пасмурно,ЮЗ 3м/с,-7,754,Пасмурно,ЮЗ 3м/с
2008-01-14,-6,751,Пасмурно,ЮЗ 2м/с,-4,752,Пасмурно,ЮЗ 2м/с
2008-01-15,-1,753,Пасмурно,З 1м/с,-2,754,Пасмурно,З 1м/с
2008-01-16,-1,759,Пасмурно,Ш,-2,762,Пасмурно,Ш
2008-01-17,-4,765,Пасмурно,Ю 3м/с,-4,765,Пасмурно,Ю 3м/с
2008-01-18,-8,765,Переменная облачность,Ю 1м/с,-10,765,Пасмурно,Ю 1м/с
2008-01-19,-9,765,Пасмурно,Ш,-12,765,Переменная облачность,Ш
2008-01-20,-9,762,Ясно,Ю 3м/с,-14,762,Ясно,Ю 3м/с
2008-01-21,-15,759,Пасмурно,В 2м/с,-17,759,Переменная облачность,В 2м/с
2008-01-22,-13,753,Пасмурно,В 4м/с,-11,751,Пасмурно,В 4м/с
2008-01-23,-9,751,Пасмурно,Ю 3м/с,-9,751,Пасмурно,Ю 3м/с
2008-01-24,-11,750,Пасмурно,В 3м/с,-10,751,Пасмурно,В 3м/с
2008-01-25,-8,753,Пасмурно,В 1м/с,-10,751,Пасмурно,В 1м/с
2008-01-26,-4,742,Пасмурно,Ю 2м/с,-3,741,Пасмурно,Ю 2м/с
2008-01-27,-1,735,Малооблачно,В 2м/с,-2,735,Пасмурно,В 2м/с
2008-01-28,-1,741,Пасмурно,ЮВ 3м/с,-3,744,Пасмурно,ЮВ 3м/с
2008-01-29,-4,749,Пасмурно,Ю 1м/с,-5,750,Пасмурно,Ю 1м/с
2008-01-30,-6,753,Пасмурно,С 1м/с,-5,753,Переменная облачность,С 1м/с
2008-01-31,-7,753,Ясно,В 1м/с,-11,753,Пасмурно,В 1м/с
2008-02-1,-11,753,Ясно,ЮВ 1м/с,-14,753,Пасмурно,ЮВ 1м/с
2008-02-2,-12,756,Пасмурно,В 1м/с,-11,758,Пасмурно,В 1м/с
2008-02-3,-6,756,Пасмурно,В 1м/с,-5,754,Пасмурно,В 1м/с
2008-02-4,-3,756,Пасмурно,З 4м/с,-2,754,Пасмурно,З 4м/с
2008-02-5,-1,759,Пасмурно,З 1м/с,-9,760,Ясно,З 1м/с
2008-02-6,-6,760,Переменная облачность,З 2м/с,-9,761,Малооблачно,З 2м/с
2008-02-7,-8,765,Пасмурно,Ш,-6,767,Пасмурно,Ш
2008-02-8,-10,773,Ясно,В 2м/с,-15,773,Ясно,В 2м/с
2008-02-9,-14,774,Малооблачно,ЮЗ 3м/с,-18,772,Пасмурно,ЮЗ 3м/с
2008-02-10,-12,762,Пасмурно,ЮЗ 3м/с,-11,762,Пасмурно,ЮЗ 3м/с
2008-02-11,-3,760,Пасмурно,ЮЗ 1м/с,-3,762,Пасмурно,ЮЗ 1м/с
2008-02-12,-5,763,Переменная облачность,ЮЗ 1м/с,-7,763,Пасмурно,ЮЗ 1м/с
2008-02-13,-4,758,Пасмурно,ЮЗ 4м/с,-6,755,Пасмурно,ЮЗ 4м/с
2008-02-14,-6,746,Пасмурно,ЮЗ 4м/с,-9,744,Переменная облачность,ЮЗ 4м/с
2008-02-15,-13,744,Пасмурно,В 2м/с,-13,741,Пасмурно,В 2м/с
2008-02-16,-10,741,Пасмурно,ЮЗ 2м/с,-17,744,Пасмурно,ЮЗ 2м/с
2008-02-17,-11,750,Малооблачно,З 2м/с,-16,753,Ясно,З 2м/с
2008-02-18,-14,751,Переменная облачность,ЮЗ 3м/с,-15,750,Переменная облачность,ЮЗ 3м/с
2008-02-19,-13,746,Пасмурно,ЮВ 2м/с,-14,744,Переменная облачность,ЮВ 2м/с
2008-02-20,-8,735,Пасмурно,СЗ 2м/с,-13,735,Пасмурно,СЗ 2м/с
2008-02-21,-8,740,Переменная облачность,СЗ 4м/с,-10,744,Малооблачно,СЗ 4м/с
2008-02-22,-7,750,Пасмурно,З 3м/с,-8,746,Пасмурно,З 3м/с
2008-02-23,+1,734,Пасмурно,ЮЗ 4м/с,+1,732,Пасмурно,ЮЗ 4м/с
2008-02-24,+3,739,Малооблачно,ЮЗ 3м/с,+1,741,Переменная облачность,ЮЗ 3м/с
2008-02-25,0,741,Пасмурно,ЮЗ 4м/с,+1,738,Пасмурно,ЮЗ 4м/с
2008-02-26,0,728,Пасмурно,ЮЗ 3м/с,+1,735,Переменная облачность,ЮЗ 3м/с
2008-02-27,+2,744,Малооблачно,З 3м/с,0,745,Переменная облачность,З 3м/с
2008-02-28,+2,741,Пасмурно,ЮЗ 3м/с,+1,740,Пасмурно,ЮЗ 3м/с
2008-02-29,+2,738,Пасмурно,ЮЗ 3м/с,+1,740,Переменная облачность,ЮЗ 3м/с
2008-03-1,+3,743,Пасмурно,Ю 3м/с,+2,742,Пасмурно,Ю 3м/с
2008-03-2,+2,738,Пасмурно,В 3м/с,+3,737,Переменная облачность,В 3м/с
2008-03-3,+2,736,Малооблачно,Ю 2м/с,+1,738,Ясно,Ю 2м/с
2008-03-4,+1,735,Малооблачно,В 1м/с,0,735,Пасмурно,В 1м/с
2008-03-5,+1,744,Пасмурно,З 3м/с,-1,748,Переменная облачность,З 3м/с
2008-03-6,+1,750,Пасмурно,ЮЗ 5м/с,-1,751,Пасмурно,ЮЗ 5м/с
2008-03-7,+2,747,Пасмурно,ЮЗ 4м/с,0,744,Пасмурно,ЮЗ 4м/с
2008-03-8,+2,742,Переменная облачность,З 2м/с,0,746,Малооблачно,З 2м/с
2008-03-9,+1,753,Пасмурно,С 2м/с,-3,754,Пасмурно,С 2м/с
2008-03-10,-2,752,Пасмурно,СВ 3м/с,-4,752,Пасмурно,СВ 3м/с
2008-03-11,0,752,Ясно,С 2м/с,-4,752,Ясно,С 2м/с
2008-03-12,0,751,Переменная облачность,ЮВ 2м/с,-3,750,Малооблачно,ЮВ 2м/с
2008-03-13,+3,746,Малооблачно,Ю 2м/с,-1,746,Ясно,Ю 2м/с
2008-03-14,+4,744,Ясно,Ш,-1,744,Ясно,Ш
2008-03-15,+4,741,Пасмурно,В 1м/с,+1,741,Пасмурно,В 1м/с
2008-03-16,0,738,Пасмурно,В 1м/с,-1,744,Пасмурно,В 1м/с
2008-03-17,+2,735,Пасмурно,ЮЗ 3м/с,+1,737,Переменная облачность,ЮЗ 3м/с
2008-03-18,0,737,Пасмурно,В 2м/с,+1,735,Малооблачно,В 2м/с
2008-03-19,+4,741,Пасмурно,ЮВ 1м/с,+2,738,Пасмурно,ЮВ 1м/с
2008-03-20,+4,746,Ясно,ЮЗ 4м/с,+2,740,Ясно,ЮЗ 4м/с
2008-03-21,+5,741,Пасмурно,ЮЗ 4м/с,+3,740,Пасмурно,ЮЗ 4м/с
2008-03-22,+2,738,Пасмурно,З 1м/с,+1,742,Пасмурно,З 1м/с
2008-03-23,+3,748,Переменная облачность,Ю 1м/с,+2,748,Ясно,Ю 1м/с
2008-03-24,+4,745,Пасмурно,ЮВ 2м/с,+2,747,Малооблачно,ЮВ 2м/с
2008-03-25,+10,744,Переменная облачность,В 2м/с,+5,742,Пасмурно,В 2м/с
2008-03-26,+15,738,Пасмурно,В 3м/с,+10,741,Малооблачно,В 3м/с
2008-03-27,+12,746,Пасмурно,ЮЗ 2м/с,+10,747,Пасмурно,ЮЗ 2м/с
2008-03-28,+8,756,Ясно,З 2м/с,+5,758,Ясно,З 2м/с
2008-03-29,+9,759,Пасмурно,С 2м/с,+5,759,Малооблачно,С 2м/с
2008-03-30,+7,754,Пасмурно,С 4м/с,+5,753,Пасмурно,С 4м/с
2008-03-31,+10,753,Пасмурно,С 2м/с,+5,753,Ясно,С 2м/с
2008-04-1,+11,752,Переменная облачность,СВ 4м/с,+5,752,Ясно,СВ 4м/с
2008-04-2,+10,749,Пасмурно,СВ 3м/с,+6,749,Пасмурно,СВ 3м/с
2008-04-3,+15,748,Малооблачно,СВ 4м/с,+10,749,Ясно,СВ 4м/с
2008-04-4,+17,746,Пасмурно,СВ 2м/с,+11,747,Переменная облачность,СВ 2м/с
