"Параметр","Значение"
"Имя файла","20140101_20140105.csv"
"Количество строк","5"
"Количество столбцов","31"
"Начальная дата","2014-01-01"
"Конечная дата","2014-01-05"
"Дата","Тип: object, Уникальных значений: 5, Примеры: 2014-01-03, 2014-01-05, 2014-01-04, 2014-01-02, 2014-01-01"
"Температура (день)","Тип: float64, Уникальных значений: 5, Примеры: -8.0, -10.0, 0.0, -1.0, -3.0"
"Давление (день)","Тип: float64, Уникальных значений: 5, Примеры: 758.0, 765.0, 762.0, 763.0, 759.0"
"Температура (вечер)","Тип: float64, Уникальных значений: 5, Примеры: -2.0, -11.0, -1.0, -3.0, -8.0"
"Давление (вечер)","Тип: float64, Уникальных значений: 4, Примеры: 763.0, 764.0, 762.0, 759.0"
"Облачность (день)-Ясно","Тип: int64, Уникальных значений: 2, Примеры: 0, 1"
"Облачность (день)-Малооблачно","Тип: int64, Уникальных значений: 1, Примеры: 0"
"Облачность (день)-Переменная облачность","Тип: int64, Уникальных значений: 1, Примеры: 0"
"Облачность (день)-Пасмурно","Тип: int64, Уникальных значений: 2, Примеры: 1, 0"
"Облачность (вечер)-Ясно","Тип: int64, Уникальных значений: 1, Примеры: 0"
"Облачность (вечер)-Малооблачно","Тип: int64, Уникальных значений: 1, Примеры: 0"
"Облачность (вечер)-Переменная облачность","Тип: int64, Уникальных значений: 2, Примеры: 0, 0"
"Облачность (вечер)-Пасмурно","Тип: int64, Уникальных значений: 2, Примеры: 1, 1"
"Ветер (день) (м/с)","Тип: float64, Уникальных значений: 2, Примеры: 1.0, 1.0"
"Ветер (день)-С","Тип: int64, Уникальных значений: 2, Примеры: 0, 0"
"Ветер (день)-СВ","Тип: int64, Уникальных значений: 1, Примеры: 0"
"Ветер (день)-В","Тип: int64, Уникальных значений: 2, Примеры: 0, 0"
"Ветер (день)-ЮВ","Тип: int64, Уникальных значений: 2, Примеры: 1, 0"
"Ветер (день)-Ю","Тип: int64, Уникальных значений: 1, Примеры: 0"
"Ветер (день)-ЮЗ","Тип: int64, Уникальных значений: 1, Примеры: 0"
"Ветер (день)-З","Тип: int64, Уникальных значений: 2, Примеры: 0, 1"
"Ветер (день)-СЗ","Тип: int64, Уникальных значений: 1, Примеры: 0"
"Ветер (вечер) (м/с)","Тип: float64, Уникальных значений: 2, Примеры: 1.0, 3.0"
"Ветер (вечер)-С","Тип: int64, Уникальных значений: 2, Примеры: 0, 1"
"Ветер (вечер)-СВ","Тип: int64, Уникальных значений: 1, Примеры: 0"
"Ветер (вечер)-В","Тип: int64, Уникальных значений: 2, Примеры: 0, 1"
"Ветер (вечер)-ЮВ","Тип: int64, Уникальных значений: 2, Примеры: 0, 0"
"Ветер (вечер)-Ю","Тип: int64, Уникальных значений: 1, Примеры: 0"
"Ветер (вечер)-ЮЗ","Тип: int64, Уникальных значений: 1, Примеры: 0"
"Ветер (вечер)-З","Тип: int64, Уникальных значений: 2, Примеры: 0, 0"
"Ветер (вечер)-СЗ","Тип: int64, Уникальных значений: 1, Примеры: 0"
